model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9241379310344828
DecisionTree,0.8461538461538461,0.896551724137931,0.896551724137931,0.896551724137931,0.7982758620689654
RandomForest,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9620689655172414
KNN,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9637931034482758
SVM,0.9230769230769231,0.90625,1.0,0.9508196721311475,0.9551724137931035
