model,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_roc_auc,best_params,cv_roc_auc,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1,tuned_roc_auc
LogisticRegression,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9241379310344828,"{""clf__C"": 10, ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear""}",0.9004593685300207,0.8974358974358975,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207
RandomForest,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9620689655172414,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 2, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 200}",0.9549624741200828,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9551724137931035
KNN,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9637931034482758,"{""clf__n_neighbors"": 5, ""clf__p"": 1, ""clf__weights"": ""distance""}",0.9724184782608696,0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356,0.9655172413793103
SVM,0.9230769230769231,0.90625,1.0,0.9508196721311475,0.9551724137931035,"{""clf__C"": 10, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.9220561594202898,0.8974358974358975,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9620689655172414
